case_id,idx,coco_index,label,pred,correct,prob_ooc,replacement_object,p_replacement,replacement_rank,top5,figure_path
0,1481,3060,1,1,1,0.9999982118606567,elephant,1.0202699485262201e-07,79,clock:0.6550; tie:0.0736; traffic light:0.0583; cell phone:0.0468; person:0.0401,tri_view_compat/outputs/case_vis/prior_v2_original/case_00_idx1481_label1_pred1.png
1,1584,3264,1,1,1,0.9999853372573853,elephant,2.3045028285650915e-07,80,clock:0.9602; bird:0.0117; person:0.0032; stop sign:0.0030; car:0.0028,tri_view_compat/outputs/case_vis/prior_v2_original/case_01_idx1584_label1_pred1.png
2,617,1278,1,1,1,0.9999488592147827,microwave,1.5240934772009496e-06,72,baseball glove:0.4004; baseball bat:0.2627; person:0.1218; sports ball:0.0677; chair:0.0597,tri_view_compat/outputs/case_vis/prior_v2_original/case_02_idx617_label1_pred1.png
3,281,597,1,1,1,0.9999473094940186,elephant,1.3430919807433384e-06,72,toilet:0.6906; sink:0.1804; hair drier:0.0213; cat:0.0169; toothbrush:0.0147,tri_view_compat/outputs/case_vis/prior_v2_original/case_03_idx281_label1_pred1.png
4,168,359,0,0,1,0.14185099303722382,tennis racket,0.8989220857620239,1,tennis racket:0.8989; person:0.0456; sports ball:0.0241; chair:0.0052; bench:0.0035,tri_view_compat/outputs/case_vis/prior_v2_original/case_04_idx168_label0_pred0.png
5,2274,4739,0,0,1,0.18272720277309418,tennis racket,0.799898087978363,1,tennis racket:0.7999; sports ball:0.0925; person:0.0618; chair:0.0127; clock:0.0065,tri_view_compat/outputs/case_vis/prior_v2_original/case_05_idx2274_label0_pred0.png
6,1250,2607,0,0,1,0.02770441398024559,bed,0.5853825211524963,1,bed:0.5854; couch:0.0487; cat:0.0478; dining table:0.0328; tv:0.0323,tri_view_compat/outputs/case_vis/prior_v2_original/case_06_idx1250_label0_pred0.png
7,1615,3317,0,0,1,0.10993468016386032,donut,0.6506734490394592,1,donut:0.6507; hot dog:0.1199; pizza:0.0505; sandwich:0.0367; cell phone:0.0192,tri_view_compat/outputs/case_vis/prior_v2_original/case_07_idx1615_label0_pred0.png
8,879,1852,0,1,0,0.9928916692733765,horse,1.0668800314306282e-05,74,bottle:0.1401; microwave:0.1000; oven:0.0985; sink:0.0972; knife:0.0922,tri_view_compat/outputs/case_vis/prior_v2_original/case_08_idx879_label0_pred1.png
9,2287,4767,0,1,0,0.9852472543716431,surfboard,3.528583692968823e-05,79,refrigerator:0.2177; microwave:0.1196; oven:0.1117; cat:0.0422; tv:0.0398,tri_view_compat/outputs/case_vis/prior_v2_original/case_09_idx2287_label0_pred1.png
10,1653,3417,0,1,0,0.9841123223304749,stop sign,0.00023130101908463985,38,surfboard:0.6848; person:0.1027; bird:0.0606; boat:0.0472; dog:0.0384,tri_view_compat/outputs/case_vis/prior_v2_original/case_10_idx1653_label0_pred1.png
11,2273,4737,0,1,0,0.9710021615028381,baseball glove,3.723855843418278e-05,57,clock:0.7290; traffic light:0.0931; bird:0.0526; car:0.0279; stop sign:0.0215,tri_view_compat/outputs/case_vis/prior_v2_original/case_11_idx2273_label0_pred1.png
